supplier_id,supplier_name,supplier_type,contract_type,number_of_year_of_association,address_id
SP00853,Grant-Ferry,retailer,B2C,29,AD01841
SP00854,"Upton, Boyle and Roberts",retailer,C2C,26,AD01089
SP00855,"Gleichner, Wuckert and Marquardt",manufacturer,B2B,24,AD01013
SP00856,Jakubowski-Senger,distributor,B2B,28,AD01273
SP00857,"Quitzon, Kling and Stracke",manufacturer,C2B,26,AD01236
SP00858,"MacGyver, Weissnat and Reilly",wholesaler,B2C,23,AD01525
SP00859,Hudson LLC,wholesaler,C2B,16,AD01514
SP00860,Lind-Dooley,wholesaler,C2C,8,AD01825
SP00861,"Ebert, Purdy and Berge",retailer,C2B,24,AD01179
SP00862,Leffler-Tremblay,manufacturer,C2B,14,AD01964
SP00863,"Fadel, Carter and Kovacek",manufacturer,B2C,16,AD01407
SP00864,Agimba,distributor,C2B,30,AD01166
SP00865,Baumbach-O'Reilly,manufacturer,B2C,13,AD01163
SP00866,"Stoltenberg, Farrell and Wyman",distributor,C2B,2,AD01008
SP00867,Boyer-Franecki,manufacturer,B2C,23,AD01530
SP00868,Lubowitz-DuBuque,distributor,C2C,18,AD01894
SP00869,Fritsch and Sons,manufacturer,C2C,28,AD01479
SP00870,Lowe and Sons,manufacturer,C2C,28,AD01607
SP00871,Hirthe-Dare,retailer,B2B,9,AD01463
SP00872,Dare Inc,distributor,C2C,19,AD01203
SP00873,Browsecat,retailer,C2B,13,AD01294
SP00874,Rowe Inc,retailer,B2C,19,AD01365
SP00875,"Roberts, Strosin and Gutkowski",manufacturer,C2C,24,AD01596
SP00876,Photofeed,retailer,C2C,18,AD01731
SP00877,Kovacek-Kertzmann,wholesaler,B2C,4,AD01058
SP00878,"West, Larkin and Yundt",manufacturer,C2C,21,AD01939
SP00879,"Mertz, Cormier and Bauch",wholesaler,C2C,26,AD01494
SP00880,"Monahan, Collins and Herzog",manufacturer,C2B,13,AD01754
SP00881,Bogan LLC,manufacturer,C2C,14,AD01974
SP00882,Leffler-Lesch,wholesaler,B2B,5,AD01767
SP00883,"Boyer, Herman and Beier",manufacturer,B2B,11,AD01045
SP00884,Mohr and Sons,retailer,C2C,6,AD01590
SP00885,"Bahringer, Beier and Jast",wholesaler,C2C,21,AD01157
SP00886,Becker Group,retailer,C2C,18,AD01152
SP00887,Dooley-Adams,wholesaler,B2B,18,AD01735
SP00888,Renner-Dicki,manufacturer,B2C,28,AD01968
SP00889,"Crona, Hilpert and Reilly",distributor,B2B,9,AD01822
SP00890,Reilly-Hills,distributor,B2B,12,AD01686
SP00891,"Pacocha, Lehner and Hahn",manufacturer,C2B,16,AD01869
SP00892,Nader-Morar,distributor,C2C,4,AD01572
SP00893,Haley-Conroy,distributor,C2C,25,AD01285
SP00894,"Wilkinson, Barrows and Leffler",manufacturer,B2C,26,AD01990
SP00895,Nienow and Sons,wholesaler,C2C,7,AD01200
SP00896,Kiehn Inc,retailer,C2C,19,AD01714
SP00897,"Conroy, Konopelski and Turner",retailer,B2B,25,AD01191
SP00898,Schmeler-Pouros,manufacturer,B2B,4,AD01878
SP00899,"Mann, Davis and Weimann",manufacturer,C2C,6,AD01033
SP00900,"Lakin, Heathcote and Haley",manufacturer,B2B,7,AD01296
SP00901,"Homenick, Walsh and Nader",retailer,C2B,2,AD01809
SP00902,Stroman Group,distributor,C2C,12,AD01959
SP00903,Moen-Flatley,retailer,C2C,26,AD01983
SP00904,"Kozey, Maggio and Daniel",distributor,C2B,11,AD01877
SP00905,Leannon and Sons,distributor,B2C,21,AD01634
SP00906,Quinu,manufacturer,C2B,6,AD01049
SP00907,"Kassulke, Ondricka and Nitzsche",wholesaler,B2B,12,AD01009
SP00908,"Rowe, Klein and Jacobs",wholesaler,C2C,19,AD01146
SP00909,Schinner Inc,distributor,C2C,25,AD01094
SP00910,Hilpert Inc,manufacturer,C2C,30,AD01556
SP00911,Morissette Inc,manufacturer,C2B,6,AD01130
SP00912,Funk Group,wholesaler,C2B,2,AD01330
SP00913,"Lang, Deckow and Kozey",wholesaler,B2C,24,AD01016
SP00914,Murphy Inc,retailer,B2B,3,AD01447
SP00915,"Kling, Greenholt and Bradtke",wholesaler,C2B,3,AD01239
SP00916,Davis Group,manufacturer,C2C,12,AD01414
SP00917,Fadel and Sons,wholesaler,C2C,28,AD01274
SP00918,"Schoen, Pouros and Bins",wholesaler,C2B,14,AD01293
SP00919,Schmitt and Sons,distributor,B2C,28,AD01039
SP00920,Kemmer and Sons,manufacturer,B2C,7,AD01052
SP00921,McLaughlin-Rogahn,manufacturer,C2C,6,AD01387
SP00922,McLaughlin and Sons,distributor,B2B,18,AD01849
SP00923,"McDermott, Davis and Brown",distributor,B2B,16,AD01837
SP00924,Towne Inc,retailer,B2B,5,AD01121
SP00925,"Stoltenberg, Rowe and Bruen",retailer,B2B,20,AD01660
SP00926,Keeling and Sons,distributor,B2B,26,AD01827
SP00927,Streich-Connelly,retailer,C2B,19,AD01109
SP00928,Marvin and Sons,manufacturer,C2B,13,AD01649
SP00929,Bauch-Adams,distributor,B2C,7,AD01670
SP00930,Fisher-Bode,retailer,B2C,26,AD01398
SP00931,Kozey LLC,manufacturer,C2B,18,AD01320
SP00932,Heathcote-Brakus,manufacturer,B2B,27,AD01108
SP00933,Huels Group,manufacturer,B2C,22,AD02000
SP00934,"Larson, Kub and Bartell",wholesaler,B2B,1,AD01224
SP00935,Powlowski Group,distributor,C2B,7,AD01527
SP00936,Nolan-Kshlerin,retailer,C2B,11,AD01750
SP00937,"Zieme, Fritsch and Satterfield",retailer,B2B,2,AD01246
SP00938,O'Reilly Inc,distributor,B2B,3,AD01395
SP00939,"Howe, Kshlerin and Hettinger",distributor,C2B,26,AD01297
SP00940,Roberts-Altenwerth,retailer,C2B,19,AD01353
SP00941,"Marquardt, Bashirian and Daniel",manufacturer,C2C,7,AD01284
SP00942,"Harvey, Ritchie and Hilpert",retailer,B2B,5,AD01300
SP00943,Leuschke Group,retailer,C2B,3,AD01707
SP00944,Stroman-Oberbrunner,manufacturer,B2B,27,AD01630
SP00945,Wuckert-Fay,retailer,B2B,12,AD01900
SP00946,"Jakubowski, Price and Von",distributor,C2C,1,AD01229
SP00947,Morar Inc,retailer,C2C,5,AD01912
SP00948,"Ebert, Terry and Kuhn",wholesaler,C2C,28,AD01685
SP00949,"Adams, Marvin and Walter",distributor,C2B,18,AD01602
SP00950,Yost and Sons,wholesaler,C2B,25,AD01027
SP00951,Leffler-Bergnaum,distributor,C2C,5,AD01746
SP00952,"Jaskolski, Corwin and Toy",wholesaler,C2B,30,AD01551
SP00953,"Leffler, Will and Champlin",manufacturer,B2B,15,AD01704
SP00954,Jaxworks,retailer,B2B,5,AD01430
SP00955,Jast Group,retailer,C2C,14,AD01021
SP00956,"Nienow, McGlynn and Hills",manufacturer,B2C,1,AD01329
SP00957,Price-Klein,wholesaler,B2B,19,AD01390
SP00958,Stroman LLC,manufacturer,C2B,4,AD01598
SP00959,Schoen-Hettinger,retailer,B2C,15,AD01931
SP00960,"Green, Stoltenberg and Luettgen",distributor,B2B,20,AD01659
SP00961,Rau-Rodriguez,distributor,C2B,8,AD01756
SP00962,"Roberts, Maggio and Torp",retailer,C2C,7,AD01207
SP00963,Ledner and Sons,manufacturer,C2C,21,AD01700
SP00964,"Lowe, Gottlieb and Nader",retailer,C2C,25,AD01664
SP00965,Jenkins and Sons,distributor,C2C,3,AD01281
SP00966,"Bahringer, Moen and Wisoky",wholesaler,B2C,28,AD01606
SP00967,Ziemann-Ruecker,distributor,C2B,28,AD01378
SP00968,"Bruen, Dickens and Bergnaum",manufacturer,B2B,6,AD01286
SP00969,Bartoletti-Reynolds,retailer,B2B,24,AD01833
SP00970,Carroll LLC,retailer,B2B,1,AD01981
SP00971,"Collier, Kunde and Murphy",distributor,B2C,23,AD01400
SP00972,Thiel-Willms,distributor,C2B,1,AD01324
SP00973,"Maggio, Sanford and Smith",wholesaler,C2B,18,AD01755
SP00974,"Zulauf, Jones and Wilkinson",wholesaler,B2B,7,AD01131
SP00975,Hagenes and Sons,distributor,C2C,15,AD01895
SP00976,"Schinner, Kuphal and Langosh",wholesaler,B2B,22,AD01436
SP00977,Brakus Inc,retailer,C2C,15,AD01393
SP00978,"Hodkiewicz, Koelpin and Gerhold",manufacturer,C2C,30,AD01282
SP00979,"Dare, Jacobson and Shanahan",retailer,B2B,28,AD01500
SP00980,Ratke LLC,retailer,C2B,10,AD01119
SP00981,"Larson, Ward and Rau",retailer,B2C,29,AD01341
SP00982,Quitzon Group,wholesaler,B2C,2,AD01345
SP00983,Reinger Group,wholesaler,B2B,30,AD01789
SP00984,Rogahn-Jaskolski,wholesaler,C2B,7,AD01120
SP00985,"Stanton, Wisoky and Nikolaus",manufacturer,C2C,28,AD01247
SP00986,"O'Kon, Daugherty and Hagenes",manufacturer,B2B,14,AD01426
SP00987,Larson LLC,retailer,B2C,26,AD01768
SP00988,Lesch-Hoeger,retailer,C2B,22,AD01310
SP00989,"Mayert, Upton and Kuhlman",distributor,B2B,16,AD01466
SP00990,"Jaskolski, West and White",wholesaler,C2C,29,AD01092
SP00991,Lueilwitz-Satterfield,retailer,C2C,16,AD01386
SP00992,Romaguera LLC,manufacturer,C2B,4,AD01115
SP00993,Ruecker-Schaefer,retailer,B2C,14,AD01001
SP00994,"Kertzmann, Jacobi and Hermann",retailer,B2C,11,AD01190
SP00995,"Feest, Greenholt and Considine",distributor,B2C,7,AD01217
SP00996,Mayer-O'Kon,distributor,B2B,13,AD01777
SP00997,Abernathy-Zboncak,retailer,C2B,26,AD01262
SP00998,Schulist-Kuphal,wholesaler,C2B,4,AD01870
SP00999,Keeling-Corkery,retailer,B2C,15,AD01996
SP01000,Leannon LLC,distributor,C2B,2,AD01208
